Year,Team,Name,G,GS,GR,IP,W,L,S,HD,SO,BB,ERA,FIP,WHIP,WAR
2024,한화,산체스,11,11,0,53.1,2,3,0,0,56,21,4.22,3.91,1.52,1.29
2024,한화,황준서,36,11,25,72.0,2,8,0,1,70,51,5.38,5.78,1.82,1.02
2024,한화,박상원,65,0,65,66.2,3,3,2,16,65,22,4.59,3.54,1.19,0.91
2024,한화,이민우,64,0,64,55.0,2,1,1,10,49,23,3.76,4.48,1.44,0.84
2024,한화,한승혁,70,0,70,62.2,5,5,0,19,64,38,5.03,4.31,1.61,0.76
2024,한화,장민재,26,0,26,29.0,1,1,0,0,17,7,3.1,4.47,1.83,0.64
2024,한화,김서현,37,0,37,38.1,1,2,0,10,43,32,3.76,4.43,1.64,0.59
2024,한화,김민우,3,3,0,12.1,1,0,0,0,13,6,2.19,5.08,1.05,0.56
2024,한화,이상규,21,3,18,32.0,1,4,0,0,27,15,5.63,5.48,1.69,0.39
2024,한화,김기중,27,11,16,59.0,5,4,0,0,39,27,6.56,5.98,1.86,0.21
2024,한화,장시환,30,0,30,33.1,2,2,0,2,28,22,5.13,5.41,1.68,0.2
2024,한화,페냐,9,9,0,37.1,3,5,0,0,29,20,6.27,5.92,1.63,0.18
2024,한화,김승일,3,0,3,3.0,0,0,0,0,2,0,3.0,3.63,1.33,0.11
2024,한화,남지민,2,0,2,4.0,0,0,0,0,3,2,0.0,4.76,1.0,0.1
2024,한화,김범수,39,0,39,34.0,0,0,0,4,38,20,5.29,7.55,1.56,0.01
2024,한화,조동욱,21,8,13,41.0,1,2,0,0,32,14,6.37,5.29,1.73,-0.07
2024,한화,배민서,1,0,1,1.2,0,0,0,0,1,3,16.2,8.49,4.2,-0.08
2024,한화,김규연,58,1,57,59.0,1,0,0,4,40,28,7.02,5.48,1.59,-0.09
2024,한화,이충호,3,0,3,2.1,0,0,0,0,3,3,3.86,5.13,3.0,-0.11
2024,한화,김도빈,1,1,0,0.1,0,1,0,0,1,3,54.0,25.53,12.0,-0.11
